session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_2,2026-01-26 16:56:52.239,0.008,-84.4104,4.3986,-13.1306,4.6953,91.6171,104.2225,-70.5649,-93.5228,607.6476,105.9015,75.1178,22.6045,6,0,0,0,0
Session_2,2026-01-26 16:56:52.329,0.097,-84.4104,4.3986,-13.1306,4.4749,91.8004,104.2245,-70.3085,-93.8611,607.3535,106.7003,75.0370,23.5591,6,0,0,0,0
Session_2,2026-01-26 16:56:52.404,0.173,-84.4104,4.3983,-13.1307,4.4886,91.7688,104.2259,-70.3485,-93.8456,607.3712,106.6523,75.0420,23.4810,6,0,0,0,0
Session_2,2026-01-26 16:56:52.485,0.253,-84.4104,4.3975,-13.1309,4.4790,91.8230,104.2259,-70.2810,-93.8600,607.3570,106.6865,75.0349,23.5682,6,0,0,0,0
Session_2,2026-01-26 16:56:52.560,0.328,-84.4104,4.3975,-13.1308,4.5799,91.7970,104.2245,-70.3288,-93.6963,607.4921,106.3175,75.0689,23.1858,6,0,0,0,0
Session_2,2026-01-26 16:56:52.635,0.403,-84.4104,4.3976,-13.1308,4.6170,91.7420,104.2225,-70.4010,-93.6426,607.5416,106.1866,75.0858,23.0047,6,0,0,0,0
Session_2,2026-01-26 16:56:52.697,0.465,-84.4104,4.3975,-13.1308,4.5916,91.7805,104.2232,-70.3505,-93.6790,607.5078,106.2769,75.0749,23.1302,6,0,0,0,0
Session_2,2026-01-26 16:56:52.766,0.535,-84.4104,4.3976,-13.1308,4.5442,91.8237,104.2239,-70.2908,-93.7511,607.4445,106.4478,75.0569,23.3384,6,0,0,0,0
Session_2,2026-01-26 16:56:52.840,0.609,-84.4104,4.3969,-13.1310,4.4584,91.7269,104.2252,-70.3927,-93.9148,607.3278,106.7747,75.0358,23.5576,6,0,0,0,0
Session_2,2026-01-26 16:56:52.923,0.691,-84.4104,4.3969,-13.1311,4.2002,91.6754,104.2280,-70.4129,-94.3502,606.9807,107.7226,74.9554,24.4217,6,0,0,0,0
Session_2,2026-01-26 16:56:53.004,0.773,-84.4104,4.3970,-13.1311,3.8177,91.3760,104.2239,-70.7115,-95.0253,606.4622,109.1442,74.8557,25.4962,6,0,0,0,0
Session_2,2026-01-26 16:56:53.078,0.846,-84.4104,4.3972,-13.1311,3.8205,91.4523,104.2245,-70.6203,-95.0082,606.4664,109.1244,74.8499,25.5530,6,0,0,0,0
Session_2,2026-01-26 16:56:53.168,0.937,-84.4104,4.3969,-13.1315,3.6488,91.4825,104.2232,-70.5560,-95.2896,606.2316,109.7400,74.7890,26.1773,6,0,0,0,0
Session_2,2026-01-26 16:56:53.234,1.002,-84.4103,4.3964,-13.1321,3.1778,91.4529,104.2245,-70.5154,-96.0705,605.5840,111.4085,74.6182,27.7573,6,0,0,0,0
Session_2,2026-01-26 16:56:53.325,1.093,-84.4103,4.3959,-13.1328,2.1794,91.4001,104.2259,-70.4203,-97.6999,604.1921,114.8207,74.2187,30.9914,6,0,0,0,0
Session_2,2026-01-26 16:56:53.407,1.176,-84.4103,4.3961,-13.1328,1.4481,91.0128,104.2259,-70.7728,-98.9209,603.1555,117.2835,73.9355,32.9753,6,0,0,0,0
Session_2,2026-01-26 16:56:53.489,1.258,-84.4102,4.3849,-13.1826,1.2916,90.7649,104.2266,-71.0177,-99.5041,602.8207,118.0309,73.8623,33.4475,6,0,0,0,0
Session_2,2026-01-26 16:56:53.564,1.332,-84.4097,4.2107,-13.5622,1.7056,90.8041,104.2273,-70.7434,-101.8102,602.4195,118.4636,73.7914,33.9023,6,0,0,0,0
Session_2,2026-01-26 16:56:53.639,1.407,-84.4092,3.7416,-14.5306,2.6326,90.7608,104.2266,-70.1808,-108.0886,601.0878,120.0622,73.5492,35.3942,6,0,0,0,0
