session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_9,2026-01-26 17:05:40.721,0.000,-84.3906,1.0759,-2.6202,0.9586,93.3810,116.2127,-69.8749,-78.3760,614.3941,91.3218,63.7467,10.1761,6,0,0,0,0
Session_9,2026-01-26 17:05:40.794,0.073,-84.3905,0.9616,-2.6201,0.9792,93.5191,116.2127,-69.6253,-79.2060,614.2767,91.5327,63.7375,10.5033,6,0,0,0,0
Session_9,2026-01-26 17:05:40.862,0.141,-84.3904,0.7094,-2.6207,0.7203,93.7690,116.2113,-69.0885,-81.5745,613.6332,92.6817,63.6854,11.7836,6,0,0,0,0
Session_9,2026-01-26 17:05:40.927,0.206,-84.3902,-0.0120,-2.6208,1.0822,93.9949,116.2127,-68.3276,-86.5216,613.1180,93.4852,63.6371,12.7297,6,0,0,0,0
Session_9,2026-01-26 17:05:40.995,0.274,-84.3893,-1.0398,-2.6291,0.8123,94.1295,116.2141,-67.3324,-94.9734,611.2608,96.3822,63.4379,15.4586,6,0,0,0,0
Session_9,2026-01-26 17:05:41.062,0.341,-84.3863,-2.5733,-2.6316,1.1076,94.2716,116.2127,-66.0400,-106.3168,609.1395,99.0899,63.1912,18.0229,6,0,0,0,0
Session_9,2026-01-26 17:05:41.129,0.408,-84.3794,-4.3023,-2.6340,0.8954,94.5243,116.2079,-64.3831,-119.9111,605.6442,103.2189,62.6915,21.9594,6,0,0,0,0
Session_9,2026-01-26 17:05:41.206,0.485,-84.3790,-6.9628,-2.6389,0.5850,94.9885,116.2058,-61.7883,-140.5370,599.4658,109.1989,61.6554,27.7102,6,0,0,0,0
Session_9,2026-01-26 17:05:41.290,0.569,-84.3772,-10.0767,-2.6445,-0.5782,95.6250,116.2072,-58.5658,-165.3803,589.7375,116.9639,59.6759,35.1095,6,0,0,0,0
Session_9,2026-01-26 17:05:41.373,0.652,-84.3745,-13.4118,-2.6541,-2.2872,96.1077,116.2024,-55.3648,-191.8605,576.8998,124.8793,56.8046,42.3135,6,0,0,0,0
Session_9,2026-01-26 17:05:41.454,0.733,-84.3683,-16.6108,-2.6838,-5.7431,96.4847,116.1859,-52.2716,-218.3919,559.6097,133.5267,52.3680,49.7340,6,0,0,0,0
Session_9,2026-01-26 17:05:41.541,0.820,-84.3616,-20.1778,-2.7849,-9.0266,96.8562,116.1804,-49.1051,-245.6574,539.0296,140.6706,47.1581,55.5324,6,0,0,0,0
Session_9,2026-01-26 17:05:41.625,0.904,-84.3502,-23.5255,-3.0102,-13.0854,97.2887,116.1660,-46.0979,-270.2827,515.4716,146.9044,40.9700,60.2477,6,0,0,0,0
Session_9,2026-01-26 17:05:41.709,0.988,-84.3114,-26.6688,-3.6872,-14.8618,97.4913,116.1646,-43.5426,-291.6691,494.3940,150.7772,36.2584,62.8567,6,0,0,0,0
Session_9,2026-01-26 17:05:41.777,1.056,-84.2192,-29.2127,-4.6747,-14.0316,97.7261,116.1639,-41.1151,-308.2774,479.5575,152.3647,33.8841,64.0232,6,0,0,0,0
Session_9,2026-01-26 17:05:41.851,1.130,-83.6705,-31.6321,-5.9334,-14.9146,97.7529,116.1646,-36.3481,-324.7057,459.8390,155.1127,29.9635,66.0428,6,0,0,0,0
Session_9,2026-01-26 17:05:41.917,1.196,-82.7802,-33.3213,-7.2441,-14.8741,97.9617,116.1708,-29.6202,-336.4868,445.2868,156.6217,27.3105,67.7744,6,0,0,0,0
Session_9,2026-01-26 17:05:41.993,1.272,-81.6242,-34.8423,-8.8168,-14.5754,98.1532,116.1667,-21.0786,-347.3018,430.7498,157.9802,24.7916,69.6354,6,0,0,0,0
Session_9,2026-01-26 17:05:42.061,1.340,-80.2488,-36.4622,-10.6446,-14.1696,98.2658,116.1660,-10.8011,-358.1705,414.3288,159.4647,22.0700,71.6586,6,0,0,0,0
Session_9,2026-01-26 17:05:42.130,1.409,-79.0418,-37.9157,-12.5825,-13.4782,98.3887,116.1722,-1.3301,-367.4770,398.6092,160.7086,19.6295,73.3596,6,0,0,0,0
Session_9,2026-01-26 17:05:42.199,1.478,-78.0998,-39.2661,-14.6375,-11.9016,98.2123,116.1722,6.2983,-376.0086,384.4388,161.7498,18.0804,74.5632,6,0,0,0,0
Session_9,2026-01-26 17:05:42.275,1.554,-77.3694,-40.6912,-17.1573,-8.7678,98.1924,116.1694,13.1386,-385.1418,370.5969,162.1579,17.3688,75.4124,6,0,0,0,0
Session_9,2026-01-26 17:05:42.338,1.617,-77.0972,-41.6821,-19.3030,-5.3613,98.0811,116.1687,16.2547,-391.5372,362.0908,162.1045,17.6459,75.6201,6,0,0,0,0
Session_9,2026-01-26 17:05:42.411,1.690,-76.9953,-42.5934,-22.0628,-2.8070,98.0509,116.1701,18.5210,-398.2226,347.9759,162.6833,16.6745,75.8844,6,0,0,0,0
Session_9,2026-01-26 17:05:42.484,1.763,-76.9942,-43.3604,-25.3792,-0.7333,97.8085,116.1687,19.4668,-403.5784,331.5618,163.8410,14.9867,76.1136,6,0,0,0,0
