session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_1,2026-01-26 16:31:40.159,0.000,-88.7447,3.8786,-3.0142,-0.4532,89.9835,94.5758,-80.1267,-55.3441,615.2451,84.8600,85.4057,-3.8847,6,0,0,0,0
Session_1,2026-01-26 16:31:40.231,0.072,-88.7447,3.8786,-3.0142,-0.5184,89.9767,94.5758,-80.1326,-55.4596,615.1667,85.6720,85.4110,-3.0822,6,0,0,0,0
Session_1,2026-01-26 16:31:40.297,0.138,-88.7447,3.8786,-3.0142,-0.5630,89.9684,94.5772,-80.1408,-55.5385,615.1130,86.2292,85.4128,-2.5350,6,0,0,0,0
Session_1,2026-01-26 16:31:40.372,0.213,-88.7447,3.8787,-3.0142,-0.5047,89.9670,94.5737,-80.1447,-55.4349,615.1833,85.4977,85.4119,-3.2655,6,0,0,0,0
Session_1,2026-01-26 16:31:40.444,0.286,-88.7446,3.8786,-3.0142,-0.4147,89.9773,94.5786,-80.1357,-55.2756,615.2913,84.3848,85.3993,-4.3645,6,0,0,0,0
Session_1,2026-01-26 16:31:40.510,0.351,-88.7447,3.8786,-3.0142,-0.2753,90.0385,94.5744,-80.0670,-55.0269,615.4581,82.6537,85.3883,-6.0290,6,0,0,0,0
Session_1,2026-01-26 16:31:40.583,0.425,-88.7447,3.8785,-3.0143,-0.2863,90.0391,94.5758,-80.0657,-55.0482,615.4447,82.7946,85.3883,-5.8879,6,0,0,0,0
Session_1,2026-01-26 16:31:40.651,0.492,-88.7446,3.8780,-3.0148,-0.4999,90.1421,94.5737,-79.9324,-55.4298,615.1877,85.4528,85.4128,-3.1352,6,0,0,0,0
Session_1,2026-01-26 16:31:40.734,0.575,-88.7446,3.8771,-3.0157,-0.7677,90.3159,94.5758,-79.7111,-55.9089,614.8629,88.8259,85.4238,0.4009,6,0,0,0,0
Session_1,2026-01-26 16:31:40.807,0.649,-88.7446,3.8757,-3.0176,-1.3122,90.4559,94.5779,-79.5198,-56.8808,614.1959,95.6660,85.3961,7.3592,6,0,0,0,0
Session_1,2026-01-26 16:31:40.889,0.731,-88.7445,3.8091,-3.0525,-2.3524,90.9689,94.5799,-78.8434,-59.3490,612.7941,109.1274,85.1251,21.2879,6,0,0,0,0
