session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_8,2026-01-26 17:04:28.675,0.000,-87.2843,10.4314,-16.9763,9.8863,90.0591,112.1292,-78.8860,-51.3070,614.9127,81.1883,67.6359,-5.3833,6,0,0,0,0
Session_8,2026-01-26 17:04:28.747,0.072,-87.2841,10.4098,-16.9762,10.2523,90.0275,112.1278,-78.9479,-50.8076,615.2986,80.2942,67.5842,-6.2415,6,0,0,0,0
Session_8,2026-01-26 17:04:28.837,0.162,-87.2840,10.3809,-16.9762,10.4590,90.0385,112.1258,-78.9418,-50.6548,615.5010,79.8332,67.5587,-6.6567,6,0,0,0,0
Session_8,2026-01-26 17:04:28.902,0.227,-87.2840,10.1201,-16.9761,11.0207,90.0227,112.1278,-78.9128,-51.6695,615.8959,79.0584,67.5046,-7.3883,6,0,0,0,0
Session_8,2026-01-26 17:04:28.986,0.311,-87.2840,9.0998,-16.9761,12.5189,89.9409,112.1285,-78.7626,-56.9270,616.6060,77.8365,67.4090,-8.5983,6,0,0,0,0
Session_8,2026-01-26 17:04:29.054,0.379,-87.2840,7.8122,-16.9761,12.3617,90.0419,112.1306,-78.1467,-67.3280,615.1234,81.5635,67.6534,-5.0532,6,0,0,0,0
Session_8,2026-01-26 17:04:29.127,0.452,-87.2840,6.1033,-16.9762,12.2498,90.0405,112.1251,-77.5044,-80.9023,612.8973,86.3482,67.8352,-0.6261,6,0,0,0,0
Session_8,2026-01-26 17:04:29.203,0.528,-87.2840,4.0276,-16.9759,12.3589,89.8716,112.1237,-76.9521,-96.8670,609.9446,91.5647,67.8701,4.0371,6,0,0,0,0
Session_8,2026-01-26 17:04:29.286,0.611,-87.2837,2.3164,-16.9758,12.8368,90.0872,112.1313,-76.1018,-109.2594,607.5755,94.8276,67.7948,7.2747,6,0,0,0,0
Session_8,2026-01-26 17:04:29.349,0.674,-87.2835,1.3864,-16.9760,14.4168,89.9107,112.1278,-76.1045,-113.7140,607.8147,93.1113,67.8445,5.5092,6,0,0,0,0
Session_8,2026-01-26 17:04:29.434,0.759,-87.2826,0.2207,-16.9761,20.1022,89.8702,112.1196,-76.2037,-112.6219,612.2910,81.1747,67.6337,-5.5833,6,0,0,0,0
Session_8,2026-01-26 17:04:29.516,0.841,-87.2813,-0.5273,-16.9759,21.6389,89.9712,112.1210,-75.9360,-115.6274,612.5334,79.1312,67.5128,-7.3702,6,0,0,0,0
Session_8,2026-01-26 17:04:29.591,0.916,-87.2647,-1.4943,-16.9764,18.9123,90.4230,112.1210,-74.7614,-128.0511,607.4261,88.8273,67.8781,2.0719,6,0,0,0,0
Session_8,2026-01-26 17:04:29.655,0.980,-87.2645,-2.9768,-16.9757,21.0416,90.8871,112.1251,-73.8340,-135.6515,606.6436,87.1088,67.8663,0.9444,6,0,0,0,0
Session_8,2026-01-26 17:04:29.719,1.044,-87.2646,-4.3515,-16.9754,22.9697,91.1000,112.1223,-73.2366,-142.7514,605.6490,85.6399,67.8513,-0.2036,6,0,0,0,0
Session_8,2026-01-26 17:04:29.796,1.121,-87.2644,-5.4580,-16.9756,21.4529,91.2895,112.1217,-72.4747,-153.8706,601.0305,92.5998,67.8357,6.4333,6,0,0,0,0
Session_8,2026-01-26 17:04:29.886,1.211,-87.2633,-5.8980,-16.9757,17.5074,91.6411,112.1210,-71.5690,-163.8301,594.6779,103.9127,67.1201,17.2409,6,0,0,0,0
Session_8,2026-01-26 17:04:29.955,1.280,-87.2506,-5.9264,-16.9760,14.5191,91.9542,112.1223,-70.9138,-168.8190,590.3709,111.1228,66.1506,24.1849,6,0,0,0,0
Session_8,2026-01-26 17:04:30.026,1.351,-87.2145,-5.9265,-16.9759,10.3931,92.5591,112.1223,-69.7731,-175.0374,584.1405,119.8801,64.2566,32.7700,6,0,0,0,0
Session_8,2026-01-26 17:04:30.102,1.427,-86.9024,-6.1485,-16.9764,8.7760,92.6594,112.1251,-68.4848,-179.3334,580.9009,123.3937,63.2698,36.3308,6,0,0,0,0
Session_8,2026-01-26 17:04:30.183,1.508,-86.1398,-6.7853,-16.9759,8.3620,93.0391,112.1230,-65.2856,-185.3447,578.2581,125.1845,62.6003,39.0558,6,0,0,0,0
Session_8,2026-01-26 17:04:30.266,1.591,-85.1386,-7.5806,-16.9760,6.0349,92.9910,112.1237,-61.3498,-195.2237,571.7974,130.4220,60.7092,44.6217,6,0,0,0,0
Session_8,2026-01-26 17:04:30.339,1.664,-83.8841,-8.3379,-16.9755,2.9897,93.1297,112.1258,-55.9292,-205.5059,563.9102,135.8936,58.1161,50.7180,6,0,0,0,0
Session_8,2026-01-26 17:04:30.413,1.738,-82.5534,-9.0463,-16.9751,1.2394,93.3172,112.1203,-50.0273,-213.5243,558.2455,138.9549,56.2996,54.7966,6,0,0,0,0
Session_8,2026-01-26 17:04:30.503,1.828,-80.8493,-9.4453,-16.9724,-0.0769,93.1984,112.1210,-43.1417,-219.0117,554.3654,141.0482,55.0573,58.1223,6,0,0,0,0
Session_8,2026-01-26 17:04:30.586,1.910,-78.8968,-9.4493,-16.9377,-3.3426,92.8029,112.1223,-35.5198,-223.5293,548.2469,144.7941,52.6850,62.7517,6,0,0,0,0
Session_8,2026-01-26 17:04:30.660,1.985,-77.1775,-9.4523,-16.9313,-7.5655,92.6738,112.1203,-28.1446,-228.0667,539.9808,148.9013,49.3469,67.5569,6,0,0,0,0
Session_8,2026-01-26 17:04:30.722,2.047,-75.8675,-9.5404,-16.9315,-10.0353,92.4822,112.1230,-22.5594,-231.0459,534.6838,151.2137,47.2989,70.4363,6,0,0,0,0
Session_8,2026-01-26 17:04:30.792,2.117,-74.2979,-10.0641,-16.9295,-12.4461,92.1547,112.1265,-15.2776,-236.4051,527.7430,153.7533,44.9445,73.5766,6,0,0,0,0
Session_8,2026-01-26 17:04:30.857,2.182,-73.3293,-11.0023,-16.9296,-13.8016,91.8890,112.1196,-9.6835,-243.0810,521.2194,155.6339,43.0835,75.6547,6,0,0,0,0
Session_8,2026-01-26 17:04:30.920,2.245,-72.5967,-12.1606,-16.9294,-15.1762,91.4495,112.1223,-4.7600,-250.7561,513.6074,157.7103,41.0514,77.4555,6,0,0,0,0
Session_8,2026-01-26 17:04:30.989,2.313,-72.1034,-13.8989,-16.9288,-15.6480,91.4859,112.1217,0.7043,-260.8789,505.2389,159.1026,39.1156,78.8715,6,0,0,0,0
Session_8,2026-01-26 17:04:31.062,2.387,-72.0750,-16.0123,-16.9147,-14.7773,91.3232,112.1299,4.3699,-272.4512,497.7401,159.9877,38.0936,79.3354,6,0,0,0,0
Session_8,2026-01-26 17:04:31.134,2.459,-72.0748,-18.2270,-16.8387,-13.0408,91.3087,112.1230,8.0617,-283.9184,491.3971,160.2480,37.7476,79.4910,6,0,0,0,0
Session_8,2026-01-26 17:04:31.204,2.529,-72.0748,-21.0717,-16.3468,-11.8350,91.2875,112.1230,12.4772,-297.6521,481.9203,160.9473,36.7445,79.9002,6,0,0,0,0
Session_8,2026-01-26 17:04:31.286,2.611,-72.0745,-24.1267,-15.1533,-12.0012,91.3396,112.1210,16.7773,-310.7358,470.5039,162.0667,34.9308,80.5909,6,0,0,0,0
Session_8,2026-01-26 17:04:31.353,2.678,-72.0749,-26.6697,-13.7151,-12.9906,91.3575,112.1210,19.9329,-320.4262,460.4569,163.1987,33.0586,81.2345,6,0,0,0,0
Session_8,2026-01-26 17:04:31.422,2.747,-72.0745,-29.3323,-11.6992,-15.0114,91.3767,112.1182,22.7884,-329.1717,449.4497,164.5762,30.6613,81.9755,6,0,0,0,0
Session_8,2026-01-26 17:04:31.500,2.825,-72.0748,-32.4405,-8.9148,-16.2165,91.3239,112.1210,25.6197,-338.1382,440.3201,165.3879,29.3029,82.3496,6,0,0,0,0
Session_8,2026-01-26 17:04:31.572,2.897,-72.0744,-35.2423,-5.8793,-18.5463,91.4523,112.1217,27.9053,-344.6901,431.1296,166.2936,27.3612,82.8462,6,0,0,0,0
Session_8,2026-01-26 17:04:31.639,2.964,-72.0748,-37.7431,-3.2018,-21.1672,91.3705,112.1223,29.5839,-350.2078,421.3398,167.5100,25.1727,83.3440,6,0,0,0,0
Session_8,2026-01-26 17:04:31.714,3.039,-72.0748,-41.0480,0.1244,-25.0282,91.6363,112.1182,32.0917,-356.9144,406.3459,168.9907,21.5737,84.0518,6,0,0,0,0
Session_8,2026-01-26 17:04:31.797,3.121,-72.0752,-44.8527,3.8224,-27.8064,91.7352,112.1182,34.7065,-364.6169,391.5652,170.1352,18.8945,84.4853,6,0,0,0,0
Session_8,2026-01-26 17:04:31.886,3.211,-72.0762,-49.1185,8.1182,-30.3545,91.9865,112.1196,37.5047,-372.2985,376.1303,170.9512,16.4877,84.8166,6,0,0,0,0
Session_8,2026-01-26 17:04:31.968,3.293,-72.0761,-53.3101,12.6275,-34.3645,92.4239,112.1162,39.7268,-377.4437,358.4316,172.0387,12.9239,85.2227,6,0,0,0,0
Session_8,2026-01-26 17:04:32.051,3.376,-72.0796,-57.3756,16.6339,-37.2388,92.9773,112.1155,42.0318,-382.4656,341.4691,172.6805,10.0087,85.4766,6,0,0,0,0
Session_8,2026-01-26 17:04:32.133,3.457,-72.0835,-61.6611,20.3283,-37.4462,92.9814,112.1217,44.3946,-389.8413,326.6326,172.9846,9.2683,85.5184,6,0,0,0,0
Session_8,2026-01-26 17:04:32.216,3.540,-72.0836,-66.0295,23.8762,-37.8074,93.0679,112.1114,46.6587,-396.5044,309.8694,173.3614,8.1442,85.6015,6,0,0,0,0
Session_8,2026-01-26 17:04:32.298,3.623,-72.0849,-70.2082,26.7700,-38.3450,93.0185,112.1120,48.4690,-402.3275,291.1183,174.1032,6.4761,85.6861,6,0,0,0,0
Session_8,2026-01-26 17:04:32.369,3.694,-72.0850,-73.6089,28.8962,-36.7005,92.9704,112.1072,50.3778,-408.4241,278.6889,174.0071,6.8371,85.6725,6,0,0,0,0
Session_8,2026-01-26 17:04:32.453,3.778,-72.0873,-77.8286,31.7071,-34.9200,92.9629,112.1120,52.3640,-414.6515,263.1162,173.8716,7.1834,85.6478,6,0,0,0,0
Session_8,2026-01-26 17:04:32.520,3.845,-72.0885,-80.6814,33.7142,-34.6468,92.9759,112.1189,53.2457,-417.3549,251.0562,174.0772,6.6480,85.6665,6,0,0,0,0
Session_8,2026-01-26 17:04:32.594,3.918,-72.0953,-83.3638,35.4316,-34.6461,93.1318,112.1066,54.0290,-419.3258,238.4752,174.3014,5.6982,85.7175,6,0,0,0,0
Session_8,2026-01-26 17:04:32.668,3.993,-72.0958,-85.2620,36.6466,-34.8864,93.2643,112.1127,54.4780,-420.2059,229.0780,174.5285,4.7927,85.7477,6,0,0,0,0
Session_8,2026-01-26 17:04:32.728,4.053,-72.0956,-86.3776,37.2883,-34.5039,93.2877,112.1134,54.8280,-421.1933,224.2403,174.5415,4.6992,85.7508,6,0,0,0,0
Session_8,2026-01-26 17:04:32.807,4.132,-72.0957,-87.4383,37.5583,-33.7212,93.2684,112.1120,55.3018,-422.7377,219.0515,174.5624,4.6992,85.7517,6,0,0,0,0
Session_8,2026-01-26 17:04:32.881,4.206,-72.0947,-88.3421,37.5559,-32.6747,93.1709,112.1134,55.7714,-424.5493,214.3820,174.5993,4.8654,85.7435,6,0,0,0,0
Session_8,2026-01-26 17:04:32.946,4.271,-72.0950,-89.1007,37.5541,-31.9318,93.1778,112.1155,56.1982,-425.8505,210.1941,174.5993,4.8466,85.7419,6,0,0,0,0
Session_8,2026-01-26 17:04:33.021,4.346,-72.0949,-90.3471,37.5519,-30.7926,93.0611,112.1134,56.6938,-427.8437,203.1150,174.7487,4.7892,85.7434,6,0,0,0,0
Session_8,2026-01-26 17:04:33.086,4.411,-72.0955,-91.6101,37.5515,-30.7755,93.2183,112.1182,57.1011,-428.4993,193.7885,175.0741,3.5755,85.7776,6,0,0,0,0
Session_8,2026-01-26 17:04:33.161,4.486,-72.0957,-93.1799,37.5530,-28.1422,93.1311,112.1162,58.0453,-431.7702,187.0245,174.7524,4.5948,85.7479,6,0,0,0,0
Session_8,2026-01-26 17:04:33.222,4.547,-72.0954,-94.1495,37.5525,-25.8941,92.9745,112.1114,58.6585,-434.2781,183.9955,174.4130,5.8373,85.7034,6,0,0,0,0
Session_8,2026-01-26 17:04:33.293,4.618,-72.0953,-94.8227,37.5672,-26.6817,92.3071,112.1093,57.7040,-433.9514,177.4655,175.5779,4.7487,85.7341,6,0,0,0,0
Session_8,2026-01-26 17:04:33.367,4.692,-72.0940,-95.3824,37.5651,-29.7434,92.7637,112.1059,57.2478,-430.7076,167.6334,176.5221,1.2207,85.8219,6,0,0,0,0
Session_8,2026-01-26 17:04:33.436,4.761,-72.0932,-95.8502,37.5645,-30.2941,92.5735,112.1162,56.8400,-430.1762,163.1394,177.0814,0.3472,85.8137,6,0,0,0,0
Session_8,2026-01-26 17:04:33.516,4.841,-72.0892,-96.4184,37.5644,-29.1344,92.7665,112.1539,57.4965,-431.3487,160.9966,176.6797,0.8206,85.7817,6,0,0,0,0
Session_8,2026-01-26 17:04:33.589,4.914,-72.0877,-97.2394,37.5637,-29.3884,91.9405,112.1752,56.4307,-431.2719,154.3646,177.8499,0.1344,85.7504,6,0,0,0,0
Session_8,2026-01-26 17:04:33.664,4.989,-72.0874,-98.3398,37.5592,-29.8842,90.2733,112.1745,54.2348,-431.0427,145.2252,179.9979,-0.7188,85.7365,6,0,0,0,0
Session_8,2026-01-26 17:04:33.737,5.062,-72.0873,-99.5026,37.5593,-28.9909,89.8599,112.1814,53.9510,-431.7943,138.1156,-179.5176,-0.8121,85.7290,6,0,0,0,0
Session_8,2026-01-26 17:04:33.811,5.136,-72.0824,-100.3612,37.5616,-26.9220,88.8863,112.1732,53.5115,-434.1544,135.3492,-179.0737,0.6782,85.7472,6,0,0,0,0
Session_8,2026-01-26 17:04:33.874,5.199,-72.0789,-100.7285,37.5617,-26.3116,87.1360,112.1800,51.6842,-435.3134,133.7492,-177.5444,1.5640,85.7616,6,0,0,0,0
Session_8,2026-01-26 17:04:33.950,5.275,-72.0685,-100.7815,37.5634,-27.1218,85.4675,112.1443,49.5309,-434.9662,132.0596,-175.6727,1.3920,85.8532,6,0,0,0,0
Session_8,2026-01-26 17:04:34.025,5.350,-72.0558,-100.7792,37.5651,-27.7817,86.7611,112.1024,50.8665,-433.7004,130.8242,-176.6245,0.2954,85.8786,6,0,0,0,0
Session_8,2026-01-26 17:04:34.091,5.416,-72.0570,-100.7745,37.5666,-27.9176,86.8943,112.0399,50.9594,-433.4935,130.6198,-176.6991,0.1214,85.9370,6,0,0,0,0
Session_8,2026-01-26 17:04:34.155,5.480,-72.0581,-100.7745,37.5665,-27.9911,86.6430,112.0482,50.6338,-433.5014,130.5087,-176.4385,0.1478,85.9334,6,0,0,0,0
Session_8,2026-01-26 17:04:34.222,5.547,-72.0581,-100.7744,37.5666,-27.7556,86.4301,112.0496,50.4791,-433.8598,130.9353,-176.3296,0.4462,85.9367,6,0,0,0,0
Session_8,2026-01-26 17:04:34.297,5.622,-72.0579,-100.7743,37.5672,-27.2303,85.9797,112.0406,50.1611,-434.6436,131.8930,-176.1088,1.1020,85.9542,6,0,0,0,0
