session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_4,2026-01-26 16:58:42.766,0.000,-73.3439,8.8050,-15.0575,-0.9160,80.3979,91.9123,-69.1926,-92.8159,602.6802,174.2887,82.8970,91.2246,6,0,0,0,0
Session_4,2026-01-26 16:58:42.838,0.072,-73.3440,8.1780,-15.0570,0.1607,80.2304,91.9130,-68.5170,-95.7732,603.4199,173.4134,83.3354,90.1892,6,0,0,0,0
Session_4,2026-01-26 16:58:42.912,0.146,-73.3440,7.5889,-15.0570,0.8624,80.1714,91.8993,-67.6207,-99.0154,603.6393,173.3093,83.4469,90.0287,6,0,0,0,0
Session_4,2026-01-26 16:58:42.975,0.209,-73.3440,7.1761,-15.0572,0.7890,80.3238,91.8910,-66.4982,-102.1313,602.9768,174.3666,82.9752,91.2309,6,0,0,0,0
Session_4,2026-01-26 16:58:43.049,0.283,-73.3439,6.8810,-15.0574,0.1112,80.3568,91.9391,-65.5042,-105.3162,601.6002,175.8591,82.0286,92.7372,6,0,0,0,0
Session_4,2026-01-26 16:58:43.117,0.351,-73.3437,6.8171,-15.0581,-2.7905,80.4069,92.3257,-64.0230,-110.0565,597.2325,177.5819,79.1148,94.4237,6,0,0,0,0
Session_4,2026-01-26 16:58:43.183,0.417,-73.3228,6.6587,-15.0816,-6.2835,80.9267,92.5056,-61.5343,-116.0854,591.4675,179.4770,75.4811,96.7617,6,0,0,0,0
Session_4,2026-01-26 16:58:43.250,0.484,-73.3092,5.7656,-15.0829,-7.5737,80.9287,92.4843,-59.0948,-124.1354,587.8351,-179.1432,73.3246,98.1122,6,0,0,0,0
Session_4,2026-01-26 16:58:43.324,0.558,-73.3092,4.1206,-15.0829,-7.0663,80.4433,92.6147,-56.3939,-135.1663,585.6217,-178.5080,72.2238,98.2173,6,0,0,0,0
Session_4,2026-01-26 16:58:43.397,0.631,-73.3091,2.2531,-15.0831,-7.5181,81.0928,94.4021,-51.5357,-148.6609,580.8813,176.9532,69.8783,93.9568,6,0,0,0,0
Session_4,2026-01-26 16:58:43.472,0.706,-73.3091,0.2592,-15.0828,-9.5684,82.3590,97.4954,-45.2175,-164.4404,572.4107,171.0639,65.5222,88.5090,6,0,0,0,0
Session_4,2026-01-26 16:58:43.562,0.796,-73.3093,-1.5576,-15.0824,-13.1671,82.4229,97.2057,-40.4307,-180.1400,560.8223,174.9193,60.3510,92.1336,6,0,0,0,0
Session_4,2026-01-26 16:58:43.645,0.879,-73.3089,-3.0847,-15.0832,-12.3486,82.4757,96.3645,-37.5639,-189.4748,557.9722,176.6559,59.7169,94.1033,6,0,0,0,0
Session_4,2026-01-26 16:58:43.718,0.952,-73.3090,-4.7348,-15.0832,-9.0479,82.2979,96.3130,-35.4089,-197.4078,559.2805,176.1746,61.3489,93.5549,6,0,0,0,0
Session_4,2026-01-26 16:58:43.783,1.017,-73.3089,-6.1485,-15.0835,-6.8404,82.6495,96.3171,-32.8166,-204.5801,558.9330,175.4373,62.0823,93.2128,6,0,0,0,0
Session_4,2026-01-26 16:58:43.849,1.083,-73.3083,-7.6062,-15.0830,-5.9539,82.6282,96.3316,-30.2242,-213.3076,555.7553,175.7106,61.5283,93.4288,6,0,0,0,0
