session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_6,2026-01-26 17:02:23.282,0.011,-89.5930,-2.6539,-0.4888,-8.2981,90.0124,112.6717,-80.5322,-106.2511,598.9640,117.6990,64.7396,25.8175,6,0,0,0,0
Session_6,2026-01-26 17:02:23.351,0.081,-88.2178,-3.8300,-0.5408,-9.2107,89.8840,112.6730,-77.7909,-118.5688,595.1678,122.1064,63.7796,31.0375,6,0,0,0,0
Session_6,2026-01-26 17:02:23.427,0.157,-86.4347,-5.0839,-0.6651,-10.7721,90.0055,112.6730,-73.1682,-132.9347,589.7183,127.5758,62.2041,37.8122,6,0,0,0,0
Session_6,2026-01-26 17:02:23.502,0.231,-84.2841,-6.3597,-0.7116,-10.9431,90.0295,112.6765,-67.1199,-145.3679,586.3755,130.1368,61.3307,42.2412,6,0,0,0,0
Session_6,2026-01-26 17:02:23.577,0.306,-82.4630,-7.4367,-0.7117,-10.2420,90.0872,112.6710,-61.4794,-154.3531,584.9101,130.7459,61.0951,44.6527,6,0,0,0,0
Session_6,2026-01-26 17:02:23.652,0.381,-81.2121,-8.4175,-0.7118,-12.0081,90.0845,112.6730,-56.6712,-164.8914,579.2799,135.0459,59.3652,49.6336,6,0,0,0,0
Session_6,2026-01-26 17:02:23.728,0.458,-80.5326,-9.7096,-0.7140,-13.9739,90.3632,112.6703,-52.4803,-176.8767,572.1257,139.4484,57.0695,54.3150,6,0,0,0,0
Session_6,2026-01-26 17:02:23.802,0.532,-80.1231,-11.2004,-0.7148,-13.8606,90.2225,112.6730,-49.5965,-187.5372,567.8817,141.2762,56.1255,56.1218,6,0,0,0,0
Session_6,2026-01-26 17:02:23.877,0.607,-80.0416,-12.6039,-0.7151,-13.6890,90.2966,112.6710,-47.5749,-197.0829,563.7667,142.7290,55.2048,57.4704,6,0,0,0,0
Session_6,2026-01-26 17:02:23.960,0.690,-80.0417,-14.0865,-0.7210,-14.7375,90.0611,112.6723,-45.9072,-208.2345,556.7989,145.7437,53.3732,59.7105,6,0,0,0,0
Session_6,2026-01-26 17:02:24.034,0.764,-80.0417,-15.0827,-0.7445,-15.8574,90.1298,112.6723,-44.4675,-215.9524,551.0651,147.9296,51.6962,61.5049,6,0,0,0,0
Session_6,2026-01-26 17:02:24.102,0.831,-80.0417,-15.9166,-0.7463,-16.6017,90.1421,112.6682,-43.3785,-222.0678,546.5651,149.4684,50.4466,62.7147,6,0,0,0,0
Session_6,2026-01-26 17:02:24.170,0.899,-80.0416,-17.0105,-0.7644,-16.8091,90.1339,112.6689,-42.0976,-229.4204,541.9973,150.7002,49.3921,63.6501,6,0,0,0,0
Session_6,2026-01-26 17:02:24.238,0.967,-80.0417,-18.3190,-0.7724,-16.8777,90.1360,112.6710,-40.6040,-237.9134,536.7433,151.9289,48.2676,64.5755,6,0,0,0,0
Session_6,2026-01-26 17:02:24.326,1.056,-80.0416,-20.6667,-0.8042,-17.7189,90.1566,112.6717,-37.8731,-253.3220,525.2988,154.5781,45.6024,66.5276,6,0,0,0,0
Session_6,2026-01-26 17:02:24.401,1.130,-80.0416,-22.6872,-0.8285,-18.0334,90.1449,112.6689,-35.6760,-265.9154,515.7789,156.3848,43.6243,67.7896,6,0,0,0,0
Session_6,2026-01-26 17:02:24.475,1.204,-80.0415,-24.8298,-0.8474,-18.1810,90.1703,112.6710,-33.3890,-278.7616,505.6007,158.0082,41.6478,68.9068,6,0,0,0,0
Session_6,2026-01-26 17:02:24.541,1.270,-80.0414,-26.5062,-0.8510,-18.3588,90.0941,112.6689,-31.7642,-288.5469,497.2043,159.3232,40.0775,69.7147,6,0,0,0,0
Session_6,2026-01-26 17:02:24.606,1.336,-80.0413,-28.1502,-0.8533,-18.6266,90.1875,112.6682,-30.0101,-297.8799,488.4968,160.4774,38.3837,70.5094,6,0,0,0,0
Session_6,2026-01-26 17:02:24.674,1.403,-80.0303,-29.7112,-0.8608,-18.8931,90.1373,112.6675,-28.4926,-306.5445,479.9322,161.6458,36.7989,71.2006,6,0,0,0,0
Session_6,2026-01-26 17:02:24.755,1.484,-80.0287,-31.4577,-0.8789,-19.1883,90.1057,112.6696,-26.8690,-315.9525,470.0391,162.8809,34.9982,71.9048,6,0,0,0,0
Session_6,2026-01-26 17:02:24.831,1.560,-80.0060,-33.2181,-0.9163,-19.2110,90.1284,112.6669,-25.1008,-325.1287,460.2913,163.8891,33.3798,72.5101,6,0,0,0,0
Session_6,2026-01-26 17:02:24.904,1.633,-79.9542,-34.8384,-1.0457,-19.1636,90.1579,112.6682,-23.2867,-333.5263,450.8560,164.7878,31.8548,73.0625,6,0,0,0,0
Session_6,2026-01-26 17:02:24.979,1.709,-79.8786,-36.4796,-1.4334,-19.2041,90.1298,112.6662,-21.3191,-342.3064,439.8707,165.8975,30.0171,73.6947,6,0,0,0,0
Session_6,2026-01-26 17:02:25.053,1.783,-79.7892,-37.9095,-2.3888,-18.6987,90.1490,112.6710,-19.2120,-350.9405,428.8000,166.8285,28.3219,74.2441,6,0,0,0,0
Session_6,2026-01-26 17:02:25.126,1.856,-79.6505,-39.2043,-4.0227,-18.2826,90.0893,112.6710,-16.8184,-359.8439,415.3338,168.1057,26.0800,74.9370,6,0,0,0,0
Session_6,2026-01-26 17:02:25.202,1.932,-79.5557,-40.1197,-5.9099,-17.6269,90.1483,112.6689,-14.8250,-367.0618,403.3507,169.0634,24.1154,75.4671,6,0,0,0,0
Session_6,2026-01-26 17:02:25.285,2.015,-79.5233,-41.2147,-8.9119,-15.3191,90.1648,112.6703,-12.8196,-376.6808,388.7062,169.8656,22.4850,75.8228,6,0,0,0,0
Session_6,2026-01-26 17:02:25.368,2.098,-79.5138,-41.7644,-11.6893,-13.4047,90.0975,112.6696,-11.6463,-383.1326,377.2348,170.5583,21.2255,76.0636,6,0,0,0,0
Session_6,2026-01-26 17:02:25.443,2.172,-79.4199,-41.8243,-14.8777,-11.9614,90.0783,112.6662,-10.2125,-387.5958,365.8927,171.3689,19.5880,76.4360,6,0,0,0,0
Session_6,2026-01-26 17:02:25.516,2.246,-79.2735,-41.8240,-18.4623,-8.6236,90.1449,112.6689,-8.1919,-392.6237,356.8482,171.4147,19.3373,76.6192,6,0,0,0,0
Session_6,2026-01-26 17:02:25.599,2.329,-79.2337,-41.8216,-23.2320,-2.0441,90.2341,112.6669,-6.5153,-399.4329,348.8150,170.5426,20.9560,76.3940,6,0,0,0,0
Session_6,2026-01-26 17:02:25.683,2.413,-79.2337,-41.7877,-28.1129,2.9581,90.1147,112.6655,-5.6926,-404.5356,336.7155,170.5818,21.1430,76.3626,6,0,0,0,0
Session_6,2026-01-26 17:02:25.757,2.487,-79.2335,-41.7646,-32.2267,4.4474,90.1030,112.6607,-5.2844,-406.7504,320.4797,171.7288,18.7756,76.7546,6,0,0,0,0
Session_6,2026-01-26 17:02:25.821,2.551,-79.2327,-41.6770,-35.6986,6.8060,90.1559,112.6682,-4.9226,-408.2791,309.3919,172.1170,17.8169,76.8882,6,0,0,0,0
Session_6,2026-01-26 17:02:25.897,2.626,-79.2153,-41.4005,-39.6693,12.6727,90.2094,112.6634,-4.2909,-410.5983,304.3746,171.1359,19.7815,76.6127,6,0,0,0,0
Session_6,2026-01-26 17:02:25.979,2.709,-79.1204,-40.4025,-44.0806,13.5015,90.1291,112.6600,-4.2062,-408.0225,291.7144,172.3186,17.4513,77.0606,6,0,0,0,0
Session_6,2026-01-26 17:02:26.053,2.783,-79.1043,-39.9271,-47.2975,15.7791,90.1023,112.6696,-4.2963,-407.1318,284.1361,172.5359,17.0359,77.1234,6,0,0,0,0
Session_6,2026-01-26 17:02:26.120,2.850,-79.1036,-39.2217,-49.0314,20.6124,90.1360,112.6524,-4.1949,-407.4182,290.6443,170.8754,20.5010,76.6174,6,0,0,0,0
Session_6,2026-01-26 17:02:26.204,2.933,-79.0730,-37.9193,-49.4603,23.1310,90.1435,112.6559,-4.3727,-405.3253,302.8963,169.3460,23.5827,76.0737,6,0,0,0,0
Session_6,2026-01-26 17:02:26.278,3.008,-78.6662,-36.9105,-49.4543,23.2107,89.4521,112.6579,-2.8013,-403.0952,310.0683,169.4543,24.8362,76.2167,6,0,0,0,0
Session_6,2026-01-26 17:02:26.344,3.073,-77.7581,-36.2886,-49.4547,23.0383,88.9027,112.6579,2.5874,-401.6218,313.9843,169.7322,25.4508,76.9929,6,0,0,0,0
Session_6,2026-01-26 17:02:26.418,3.148,-76.5229,-35.9422,-49.4552,22.4279,89.4212,112.6566,11.6075,-400.2896,315.0507,169.3960,25.0152,78.3227,6,0,0,0,0
Session_6,2026-01-26 17:02:26.499,3.228,-74.9329,-35.7201,-49.4552,22.6380,89.7617,112.6559,22.9725,-399.1978,317.0131,168.8904,25.2778,79.8544,6,0,0,0,0
