session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_3,2026-01-26 16:57:49.267,0.005,-78.3403,32.1234,-33.5132,-1.3307,89.5386,113.5155,-84.6987,5.3996,582.8055,96.7972,66.3583,17.4292,6,0,0,0,0
Session_3,2026-01-26 16:57:49.342,0.080,-78.3403,32.1196,-33.5156,-3.0954,90.5061,113.5293,-82.9416,2.6914,580.4718,101.1136,66.0309,22.3435,6,0,0,0,0
Session_3,2026-01-26 16:57:49.416,0.154,-78.3403,32.1145,-33.5164,-6.3611,91.8375,113.5478,-80.2875,-2.1808,575.9242,108.6579,65.0390,30.5348,6,0,0,0,0
Session_3,2026-01-26 16:57:49.488,0.226,-78.3402,32.1134,-33.5177,-8.3228,91.6720,113.6028,-79.8623,-5.2342,573.0450,112.9336,64.3157,34.2282,6,0,0,0,0
Session_3,2026-01-26 16:57:49.555,0.293,-78.3402,32.1135,-33.5177,-6.8582,91.7022,113.6240,-80.2861,-2.9992,575.2028,109.7316,64.8198,31.3628,6,0,0,0,0
Session_3,2026-01-26 16:57:49.623,0.361,-78.3402,32.1136,-33.5174,-5.1821,91.6706,113.6268,-80.8629,-0.3936,577.5999,105.9475,65.3386,27.8991,6,0,0,0,0
Session_3,2026-01-26 16:57:49.690,0.428,-78.3402,32.1138,-33.5173,-4.7001,91.6988,113.6137,-80.9876,0.3796,578.2748,104.8376,65.4791,26.9193,6,0,0,0,0
Session_3,2026-01-26 16:57:49.761,0.499,-78.3402,32.1139,-33.5173,-4.4721,91.6411,113.6062,-81.1307,0.7272,578.5914,104.3140,65.5512,26.3862,6,0,0,0,0
Session_3,2026-01-26 16:57:49.858,0.596,-78.3402,32.1139,-33.5173,-4.5174,91.5676,113.5945,-81.2026,0.6346,578.5284,104.4309,65.5583,26.4207,6,0,0,0,0
Session_3,2026-01-26 16:57:50.121,0.860,-78.3401,32.1137,-33.5176,-4.8951,91.3733,113.6089,-81.3077,-0.0222,578.0012,105.3166,65.4661,27.0321,6,0,0,0,0
Session_3,2026-01-26 16:57:50.183,0.922,-78.3400,32.0975,-33.5219,-5.8818,91.6397,113.6543,-80.6452,-1.6344,576.6061,107.5770,65.1057,29.3449,6,0,0,0,0
Session_3,2026-01-26 16:57:50.263,1.001,-78.3400,31.5527,-33.6504,-6.5499,92.3209,113.6996,-78.7261,-6.8480,575.5615,110.4473,64.5298,32.6108,6,0,0,0,0
Session_3,2026-01-26 16:57:50.328,1.067,-78.3400,30.2680,-33.8138,-4.8065,92.1210,113.6323,-77.5038,-13.9697,577.9688,109.8754,64.7245,31.9063,6,0,0,0,0
Session_3,2026-01-26 16:57:50.419,1.157,-78.3400,27.4370,-34.2319,-2.9677,92.0874,113.3892,-73.6227,-32.9787,579.5774,113.1200,64.4337,34.8420,6,0,0,0,0
Session_3,2026-01-26 16:57:50.494,1.232,-78.3397,24.4521,-34.8707,-1.7207,92.0654,113.2848,-69.1168,-54.9445,578.7462,118.1094,63.5104,39.3245,6,0,0,0,0
Session_3,2026-01-26 16:57:50.561,1.299,-78.3392,21.6283,-35.5112,-1.2483,92.1815,113.2045,-64.4729,-76.7486,575.5895,123.8104,62.0461,44.5277,6,0,0,0,0
Session_3,2026-01-26 16:57:50.636,1.374,-78.3301,17.9382,-36.4195,0.5603,92.1918,113.0287,-58.8792,-103.7204,571.4907,128.7551,60.5813,48.9354,6,0,0,0,0
Session_3,2026-01-26 16:57:50.709,1.447,-78.3243,14.1269,-37.1520,3.7148,92.5475,113.0308,-53.2437,-128.8171,568.0956,130.7986,59.6290,51.0493,6,0,0,0,0
Session_3,2026-01-26 16:57:50.775,1.513,-78.3215,10.5617,-37.6457,6.5156,92.3579,113.0823,-48.7404,-151.7102,563.6174,132.7037,58.8297,52.4934,6,0,0,0,0
