session_name,timestamp,elapsed_time,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,robot_mode,tooldo1,tooldo2,do1,do2
Session_7,2026-01-26 17:03:18.431,0.000,-85.3292,5.7382,-2.2750,-3.1840,90.9386,121.7697,-76.6026,-46.8287,614.2982,89.4696,58.2338,5.1585,6,0,0,0,0
Session_7,2026-01-26 17:03:18.496,0.065,-85.3291,5.7381,-2.2751,-3.2245,91.0238,121.7711,-76.4938,-46.8920,614.2491,89.5472,58.2324,5.3097,6,0,0,0,0
Session_7,2026-01-26 17:03:18.570,0.139,-85.3291,5.7379,-2.2753,-3.4779,91.1021,121.7683,-76.3627,-47.3300,613.9424,90.0289,58.2314,5.7975,6,0,0,0,0
Session_7,2026-01-26 17:03:18.644,0.213,-85.3292,5.7383,-2.2750,-3.2540,91.0307,121.7690,-76.4814,-46.9406,614.2139,89.6025,58.2341,5.3635,6,0,0,0,0
Session_7,2026-01-26 17:03:18.726,0.295,-85.3292,5.7385,-2.2747,-3.1023,91.2305,121.7697,-76.2624,-46.6456,614.3970,89.3134,58.2362,5.3175,6,0,0,0,0
Session_7,2026-01-26 17:03:18.800,0.369,-85.3292,5.7384,-2.2748,-3.2355,91.2133,121.7704,-76.2638,-46.8840,614.2365,89.5668,58.2337,5.5159,6,0,0,0,0
Session_7,2026-01-26 17:03:18.865,0.434,-85.3292,5.7385,-2.2748,-3.0020,91.0677,121.7683,-76.4733,-46.4890,614.5173,89.1230,58.2373,4.9929,6,0,0,0,0
Session_7,2026-01-26 17:03:18.931,0.499,-85.3293,5.7389,-2.2745,-2.7122,90.9929,121.7683,-76.6059,-45.9809,614.8638,88.5713,58.2367,4.4489,6,0,0,0,0
Session_7,2026-01-26 17:03:19.005,0.574,-85.3292,5.7389,-2.2745,-2.7995,90.9675,121.7697,-76.6239,-46.1386,614.7599,88.7370,58.2353,4.5645,6,0,0,0,0
Session_7,2026-01-26 17:03:19.078,0.647,-85.3293,5.7389,-2.2745,-2.8352,90.7601,121.7677,-76.8691,-46.2262,614.7173,88.8049,58.2351,4.4148,6,0,0,0,0
Session_7,2026-01-26 17:03:19.153,0.722,-85.3292,5.7387,-2.2746,-2.9025,90.6056,121.7663,-77.0458,-46.3643,614.6368,88.9331,58.2352,4.3693,6,0,0,0,0
Session_7,2026-01-26 17:03:19.212,0.781,-85.3292,5.7388,-2.2746,-2.8853,90.6132,121.7704,-77.0392,-46.3329,614.6573,88.9006,58.2311,4.3492,6,0,0,0,0
Session_7,2026-01-26 17:03:19.293,0.862,-85.3292,5.7386,-2.2747,-2.8894,90.7141,121.7711,-76.9165,-46.3300,614.6523,88.9088,58.2314,4.4572,6,0,0,0,0
Session_7,2026-01-26 17:03:19.375,0.944,-85.3291,5.7386,-2.2747,-2.9196,90.7134,121.7683,-76.9129,-46.3839,614.6161,88.9662,58.2343,4.5054,6,0,0,0,0
Session_7,2026-01-26 17:03:19.456,1.024,-85.3291,5.7386,-2.2748,-2.9546,90.4017,121.7697,-77.2844,-46.4805,614.5742,89.0328,58.2302,4.2503,6,0,0,0,0
Session_7,2026-01-26 17:03:19.531,1.100,-85.3292,5.7386,-2.2747,-3.2176,90.2795,121.7745,-77.3942,-46.9573,614.2583,89.5323,58.2258,4.5527,6,0,0,0,0
Session_7,2026-01-26 17:03:19.605,1.174,-85.3291,5.7384,-2.2749,-4.0004,90.2795,121.7683,-77.2819,-48.3326,613.3049,91.0196,58.2250,5.8172,6,0,0,0,0
Session_7,2026-01-26 17:03:19.678,1.247,-85.3291,5.7384,-2.2750,-6.7429,90.4944,121.7656,-76.6376,-53.0155,609.8195,96.2068,58.0550,10.4387,6,0,0,0,0
Session_7,2026-01-26 17:03:19.761,1.330,-85.3288,5.7262,-2.2791,-12.9646,90.9620,121.7326,-75.2449,-63.0934,601.0871,107.6029,56.8608,20.5246,6,0,0,0,0
Session_7,2026-01-26 17:03:19.835,1.403,-85.3280,5.3235,-2.3561,-14.7986,91.7784,121.7388,-73.7585,-69.1178,597.7820,111.4985,56.0003,24.5730,6,0,0,0,0
Session_7,2026-01-26 17:03:19.917,1.486,-85.3280,4.1846,-2.4277,-10.8401,91.3925,121.7381,-73.9825,-72.1218,602.3858,106.8008,56.9063,20.2775,6,0,0,0,0
Session_7,2026-01-26 17:03:19.999,1.568,-85.3277,2.5521,-2.4281,-10.6664,91.5985,121.7388,-72.7425,-84.2225,600.5964,109.3256,56.4511,22.5906,6,0,0,0,0
Session_7,2026-01-26 17:03:20.226,1.795,-85.3211,-4.3069,-2.4309,-11.5041,92.2996,121.7368,-67.6018,-136.5047,586.7474,121.5070,53.2377,33.2540,6,0,0,0,0
Session_7,2026-01-26 17:03:20.299,1.867,-85.3130,-6.6345,-2.4320,-12.4207,92.8887,121.7368,-65.3923,-154.4921,579.4907,125.9115,51.4124,37.3036,6,0,0,0,0
Session_7,2026-01-26 17:03:20.397,1.966,-85.3088,-10.3994,-2.4331,-12.8643,93.4785,121.7354,-62.4340,-181.6732,568.0299,131.0879,48.8105,41.8233,6,0,0,0,0
Session_7,2026-01-26 17:03:20.475,2.044,-85.2946,-13.5373,-2.4334,-13.9231,94.4433,121.7381,-59.3621,-204.2319,555.8012,135.4656,45.8071,45.9097,6,0,0,0,0
Session_7,2026-01-26 17:03:20.558,2.127,-85.2549,-16.3067,-2.4350,-14.9393,95.0214,121.7326,-56.9173,-223.5734,543.7645,139.0756,43.0168,48.9714,6,0,0,0,0
Session_7,2026-01-26 17:03:20.641,2.210,-85.1172,-19.1769,-2.4358,-14.8515,95.5007,121.7340,-54.2213,-242.1737,532.5754,141.4471,40.8462,51.0859,6,0,0,0,0
Session_7,2026-01-26 17:03:20.723,2.292,-84.7312,-22.1961,-2.4377,-14.6983,97.6183,121.7347,-48.3296,-260.9293,520.0934,142.7155,37.8536,53.9477,6,0,0,0,0
Session_7,2026-01-26 17:03:20.812,2.381,-83.8956,-25.4582,-2.4394,-14.8109,97.9939,121.7299,-41.9654,-281.2409,504.7880,145.2087,35.1261,56.5531,6,0,0,0,0
Session_7,2026-01-26 17:03:20.886,2.455,-82.8040,-28.0324,-2.4405,-15.2937,97.9177,121.7381,-34.7905,-297.0499,491.0596,147.5699,32.7755,58.9035,6,0,0,0,0
Session_7,2026-01-26 17:03:20.960,2.529,-81.6187,-30.6058,-2.4409,-15.2071,97.8326,121.7347,-26.6517,-311.8929,477.8651,149.4249,30.8507,61.0112,6,0,0,0,0
Session_7,2026-01-26 17:03:21.042,2.610,-80.2524,-33.2762,-2.4426,-16.4822,98.0413,121.7326,-16.5197,-326.6046,460.6394,151.9796,27.5897,63.7605,6,0,0,0,0
Session_7,2026-01-26 17:03:21.101,2.670,-79.4332,-35.1973,-2.4478,-17.4545,97.4597,121.7299,-10.7327,-336.6007,447.6043,154.2944,25.5080,65.2720,6,0,0,0,0
Session_7,2026-01-26 17:03:21.164,2.733,-78.7460,-37.7991,-2.4521,-17.6131,97.1947,121.7182,-4.5684,-349.0261,431.9918,156.2383,23.3734,66.6269,6,0,0,0,0
Session_7,2026-01-26 17:03:21.232,2.800,-78.3546,-40.3877,-2.4572,-16.5722,96.5939,121.6516,-0.4863,-360.8698,418.4192,157.6773,22.4098,67.3219,6,0,0,0,0
Session_7,2026-01-26 17:03:21.304,2.873,-78.0996,-43.2672,-2.4560,-15.7125,95.5625,121.4017,2.4871,-373.3900,402.0630,159.7901,21.3311,68.0711,6,0,0,0,0
Session_7,2026-01-26 17:03:21.370,2.939,-78.0936,-45.6393,-2.4594,-16.2378,95.4369,121.1881,4.3044,-382.5565,385.5789,161.6667,19.0423,68.8569,6,0,0,0,0
Session_7,2026-01-26 17:03:21.437,3.006,-78.0940,-48.2674,-2.4614,-16.4198,95.6147,120.9705,6.4981,-391.9326,367.7724,163.1852,16.6535,69.5927,6,0,0,0,0
Session_7,2026-01-26 17:03:21.502,3.071,-78.0940,-50.4247,-2.4619,-17.2815,95.5852,120.2275,7.8878,-398.6964,351.3508,165.0549,14.3025,70.7700,6,0,0,0,0
Session_7,2026-01-26 17:03:21.577,3.146,-78.0936,-52.9052,-2.4647,-18.1467,95.1711,118.2733,8.8762,-405.7956,332.4014,167.5688,12.0607,73.0643,6,0,0,0,0
Session_7,2026-01-26 17:03:21.659,3.228,-78.0897,-55.5755,-2.4640,-17.0013,95.4630,116.8602,10.9379,-413.7320,315.9708,168.3276,10.8785,74.6526,6,0,0,0,0
Session_7,2026-01-26 17:03:21.741,3.310,-78.0889,-58.1573,-2.4656,-17.2932,95.0846,116.0040,11.7664,-419.8465,296.8542,170.1181,8.6359,75.6977,6,0,0,0,0
Session_7,2026-01-26 17:03:21.823,3.392,-78.0845,-60.7022,-2.4650,-16.5475,94.9466,115.9792,12.8956,-425.8503,279.8143,171.0443,7.0852,75.8262,6,0,0,0,0
Session_7,2026-01-26 17:03:21.905,3.474,-78.0737,-62.9999,-2.4650,-16.0716,94.4172,115.9167,13.3241,-430.5931,263.7709,172.3280,5.6863,75.9550,6,0,0,0,0
Session_7,2026-01-26 17:03:21.970,3.539,-77.9823,-64.6548,-2.4649,-15.3857,94.2716,115.8007,14.5346,-433.8788,252.7737,172.8938,4.8927,76.1929,6,0,0,0,0
Session_7,2026-01-26 17:03:22.045,3.614,-77.6261,-66.0099,-2.4646,-14.6098,94.2888,115.7554,17.8370,-436.4406,244.1099,173.1348,4.3695,76.6156,6,0,0,0,0
Session_7,2026-01-26 17:03:22.118,3.687,-76.8564,-67.0212,-2.4646,-14.2603,94.2908,115.7417,24.0829,-437.7978,237.1641,173.4221,3.7742,77.4195,6,0,0,0,0
Session_7,2026-01-26 17:03:22.194,3.763,-75.6525,-67.9027,-2.4645,-14.2966,94.2737,115.7355,33.5079,-438.1868,230.4433,173.8367,2.9553,78.6521,6,0,0,0,0
Session_7,2026-01-26 17:03:22.268,3.837,-74.3089,-68.7407,-2.4652,-13.9918,94.4241,115.7162,44.2812,-438.4164,224.6820,173.9340,2.4113,80.0326,6,0,0,0,0
Session_7,2026-01-26 17:03:22.333,3.901,-73.3157,-69.4986,-2.4652,-13.0827,94.5078,115.5817,52.4643,-439.2000,220.6272,173.7991,2.5260,81.1608,6,0,0,0,0
